iter;T;current;best;delta;accepted;evals;move
1;45.000000;77322;77322;-2190;1;2;fib:159,379,399,859,919,1179,1499,1559,1659,1939
2;40.500000;77322;77322;0;1;3;fib:19
3;36.450000;77322;77322;0;1;4;fib:18
4;32.805000;77322;77322;0;1;5;fib:17
5;29.524500;77322;77322;0;1;6;fib:16
6;26.572050;77322;77322;0;1;7;fib:15
7;23.914845;77322;77322;0;1;8;fib:14
8;21.523361;77322;77322;0;1;9;fib:13
9;19.371024;77322;77322;0;1;10;fib:12
10;17.433922;77322;77322;0;1;11;fib:11
11;15.690530;77322;77322;0;1;12;fib:10
12;14.121477;77322;77322;0;1;13;fib:9
13;12.709329;77322;77322;0;1;14;fib:8
14;11.438396;77322;77322;0;1;15;fib:7
15;10.294557;77322;77322;0;1;16;fib:6
16;9.265101;77322;77322;0;1;17;fib:5
17;8.338591;77322;77322;0;1;18;fib:4
18;7.504732;77322;77322;0;1;19;fib:3
19;6.754259;77322;77322;0;1;20;fib:2
20;6.078833;77322;77322;0;1;21;fib:1
21;5.470949;77322;77322;0;1;22;fib:0
22;4.923855;77322;77322;0;1;23;fib:0
23;4.431469;77322;77322;0;1;24;fib:0
24;3.988322;77322;77322;0;1;25;fib:0
25;3.589490;77322;77322;0;1;26;fib:0
26;3.230541;77322;77322;0;1;27;fib:0
27;2.907487;77322;77322;0;1;28;fib:0
28;2.616738;77322;77322;0;1;29;fib:0
29;2.355064;77322;77322;0;1;30;fib:0
30;2.119558;77322;77322;0;1;31;fib:0
31;1.907602;77322;77322;0;1;32;fib:0
32;1.716842;77322;77322;0;1;33;fib:0
33;1.545158;77322;77322;0;1;34;fib:0
34;1.390642;77322;77322;0;1;35;fib:0
35;1.251578;77322;77322;0;1;36;fib:0
36;1.126420;77322;77322;0;1;37;fib:0
37;1.013778;77322;77322;0;1;38;fib:0
38;0.912400;77322;77322;0;1;39;fib:0
39;0.821160;77322;77322;0;1;40;fib:0
40;0.739044;77322;77322;0;1;41;fib:0
41;0.665140;77322;77322;0;1;42;fib:0
42;0.598626;77322;77322;0;1;43;fib:0
43;0.538763;77322;77322;0;1;44;fib:0
44;0.484887;77322;77322;0;1;45;fib:0
45;0.436398;77322;77322;0;1;46;fib:0
46;0.392758;77322;77322;0;1;47;fib:0
47;0.353483;77322;77322;0;1;48;fib:0
48;0.318134;77322;77322;0;1;49;fib:0
49;0.286321;77322;77322;0;1;50;fib:0
50;0.257689;77322;77322;0;1;51;fib:0
51;0.231920;77322;77322;0;1;52;fib:0
52;0.208728;77322;77322;0;1;53;fib:0
53;0.187855;77322;77322;0;1;54;fib:0
54;0.169070;77322;77322;0;1;55;fib:0
55;0.152163;77322;77322;0;1;56;fib:0
56;0.136946;77322;77322;0;1;57;fib:0
57;0.123252;77322;77322;0;1;58;fib:0
58;0.110927;77322;77322;0;1;59;fib:0
59;0.099834;77322;77322;0;1;60;fib:0
60;0.089851;77322;77322;0;1;61;fib:0
61;0.080865;77322;77322;0;1;62;fib:0
62;0.072779;77322;77322;0;1;63;fib:0
63;0.065501;77322;77322;0;1;64;fib:0
64;0.058951;77322;77322;0;1;65;fib:0
65;0.053056;77322;77322;0;1;66;fib:0
66;0.047750;77322;77322;0;1;67;fib:0
67;0.042975;77322;77322;0;1;68;fib:0
68;0.038678;77322;77322;0;1;69;fib:0
69;0.034810;77322;77322;0;1;70;fib:0
70;0.031329;77322;77322;0;1;71;fib:0
71;0.028196;77322;77322;0;1;72;fib:0
72;0.025376;77322;77322;0;1;73;fib:0
73;0.022839;77322;77322;0;1;74;fib:0
74;0.020555;77322;77322;0;1;75;fib:0
75;0.018499;77322;77322;0;1;76;fib:0
76;0.016649;77322;77322;0;1;77;fib:0
77;0.014985;77322;77322;0;1;78;fib:0
78;0.013486;77322;77322;0;1;79;fib:0
79;0.012137;77322;77322;0;1;80;fib:0
80;0.010924;77322;77322;0;1;81;fib:0
81;0.009831;77322;77322;0;1;82;fib:0
82;0.008848;77322;77322;0;1;83;fib:0
83;0.007963;77322;77322;0;1;84;fib:0
84;0.007167;77322;77322;0;1;85;fib:0
85;0.006450;77322;77322;0;1;86;fib:0
86;0.005805;77322;77322;0;1;87;fib:0
87;0.005225;77322;77322;0;1;88;fib:0
88;0.004702;77322;77322;0;1;89;fib:0
89;0.004232;77322;77322;0;1;90;fib:0
90;0.003809;77322;77322;0;1;91;fib:0
91;0.003428;77322;77322;0;1;92;fib:0
92;0.003085;77322;77322;0;1;93;fib:0
93;0.002777;77322;77322;0;1;94;fib:0
94;0.002499;77322;77322;0;1;95;fib:0
95;0.002249;77322;77322;0;1;96;fib:0
96;0.002024;77322;77322;0;1;97;fib:0
97;0.001822;77322;77322;0;1;98;fib:0
98;0.001640;77322;77322;0;1;99;fib:0
99;0.001476;77322;77322;0;1;100;fib:0
100;0.001328;77322;77322;0;1;101;fib:0
101;0.001195;77322;77322;0;1;102;fib:0
102;0.001076;77322;77322;0;1;103;fib:0
103;0.000968;77322;77322;0;1;104;fib:0
