iter;current;best;move;evals
1;9501;9501;((10, 14), (11, 0));15
2;9379;9379;((7, 14), (8, 0));31
3;9379;9379;((0, 14), (1, 0));49
4;9379;9379;((0, 13), (1, 0));69
5;9379;9379;((0, 12), (1, 0));89
6;9379;9379;((0, 11), (1, 0));109
7;9379;9379;((0, 10), (1, 0));129
8;9379;9379;((0, 9), (1, 0));149
9;9379;9379;((0, 8), (1, 0));169
10;9379;9379;((0, 7), (1, 0));189
11;9379;9379;((0, 6), (1, 0));209
12;9379;9379;((0, 5), (1, 0));229
13;9379;9379;((0, 4), (1, 0));249
14;9379;9379;((0, 3), (1, 0));269
15;9379;9379;((0, 2), (1, 0));289
16;9379;9379;((0, 1), (1, 0));309
17;9379;9379;((0, 0), (1, 0));329
18;9379;9379;((0, 14), (1, 1));348
19;9379;9379;((0, 13), (1, 1));369
20;9113;9113;((0, 12), (1, 1));390
21;9113;9113;((0, 11), (1, 1));411
22;9113;9113;((0, 10), (1, 1));432
23;9113;9113;((0, 9), (1, 1));453
24;9113;9113;((0, 8), (1, 1));474
25;9113;9113;((0, 7), (1, 1));495
26;9113;9113;((0, 6), (1, 1));516
27;9113;9113;((0, 5), (1, 1));537
28;9113;9113;((0, 4), (1, 1));558
29;9113;9113;((0, 3), (1, 1));579
30;9113;9113;((0, 2), (1, 1));600
31;9113;9113;((0, 1), (1, 1));621
32;9113;9113;((0, 0), (1, 1));642
33;9113;9113;((0, 14), (1, 2));661
34;9113;9113;((0, 13), (1, 2));682
35;9113;9113;((0, 12), (1, 2));703
36;9113;9113;((0, 11), (1, 2));724
37;9113;9113;((0, 10), (1, 2));745
38;9113;9113;((0, 9), (1, 2));766
39;9113;9113;((0, 8), (1, 2));787
40;9113;9113;((0, 7), (1, 2));808
41;9113;9113;((0, 6), (1, 2));829
42;9113;9113;((0, 5), (1, 2));850
43;9113;9113;((0, 4), (1, 2));871
44;9113;9113;((0, 14), (1, 3));892
45;9113;9113;((0, 13), (1, 3));915
46;9113;9113;((0, 12), (1, 3));938
47;9113;9113;((0, 11), (1, 3));961
48;9113;9113;((0, 0), (1, 1));984
49;9113;9113;((0, 0), (1, 0));1009
50;9113;9113;((0, 1), (1, 1));1033
51;9113;9113;((0, 1), (1, 0));1059
52;9113;9113;((0, 2), (1, 1));1083
53;9113;9113;((0, 2), (1, 0));1109
54;9113;9113;((0, 3), (1, 1));1133
55;9113;9113;((0, 3), (1, 0));1157
56;9113;9113;((0, 10), (1, 3));1179
57;9113;9113;((0, 9), (1, 3));1201
58;9113;9113;((0, 8), (1, 3));1223
59;9113;9113;((0, 4), (1, 2));1245
60;9113;9113;((0, 4), (1, 1));1269
61;9113;9113;((0, 4), (1, 0));1293
62;9113;9113;((0, 5), (1, 2));1315
63;9113;9113;((0, 5), (1, 1));1339
64;9113;9113;((0, 5), (1, 0));1363
65;9113;9113;((0, 6), (1, 2));1385
66;9113;9113;((0, 6), (1, 1));1409
67;9113;9113;((0, 6), (1, 0));1433
68;9113;9113;((0, 7), (1, 2));1455
69;9113;9113;((0, 7), (1, 1));1477
70;9113;9113;((0, 7), (1, 0));1499
71;9113;9113;((0, 14), (1, 4));1519
72;9113;9113;((0, 13), (1, 4));1541
73;9113;9113;((0, 12), (1, 4));1563
74;8959;8959;((0, 11), (1, 4));1585
75;8959;8959;((0, 8), (1, 3));1607
76;8959;8959;((0, 8), (1, 2));1631
77;8959;8959;((0, 8), (1, 1));1655
78;8959;8959;((0, 8), (1, 0));1679
79;8959;8959;((0, 10), (1, 4));1701
80;8959;8959;((0, 9), (1, 4));1723
81;8959;8959;((0, 14), (1, 5));1743
82;8959;8959;((0, 13), (1, 5));1765
83;8959;8959;((0, 12), (1, 5));1787
84;8959;8959;((0, 11), (1, 5));1809
85;8959;8959;((0, 10), (1, 5));1831
86;8959;8959;((0, 9), (1, 5));1853
87;8959;8959;((0, 14), (1, 6));1873
88;8959;8959;((0, 13), (1, 6));1895
89;8959;8959;((0, 12), (1, 6));1917
90;8959;8959;((0, 11), (1, 6));1939
91;8959;8959;((0, 10), (1, 6));1961
92;8959;8959;((0, 9), (1, 6));1983
93;8959;8959;((0, 14), (1, 7));2003
94;8959;8959;((0, 8), (1, 0));2025
95;8959;8959;((0, 7), (1, 0));2049
96;8959;8959;((0, 6), (1, 0));2073
97;8959;8959;((0, 5), (1, 0));2097
98;8959;8959;((0, 4), (1, 0));2121
99;8959;8959;((0, 3), (1, 0));2145
100;8959;8959;((0, 2), (1, 0));2169
101;8959;8959;((0, 1), (1, 0));2193
102;8959;8959;((0, 0), (1, 0));2217
103;8959;8959;((0, 8), (1, 1));2240
104;8959;8959;((0, 7), (1, 1));2265
105;8959;8959;((0, 6), (1, 1));2290
106;8959;8959;((0, 5), (1, 1));2315
107;8959;8959;((0, 4), (1, 1));2340
108;8959;8959;((0, 3), (1, 1));2365
109;8959;8959;((0, 2), (1, 1));2390
110;8959;8959;((0, 1), (1, 1));2415
111;8959;8959;((0, 0), (1, 1));2440
112;8959;8959;((0, 8), (1, 2));2463
113;8959;8959;((0, 7), (1, 2));2488
114;8959;8959;((0, 6), (1, 2));2513
115;8959;8959;((0, 5), (1, 2));2538
116;8959;8959;((0, 4), (1, 2));2563
117;8959;8959;((0, 8), (1, 3));2588
118;8959;8959;((0, 7), (1, 3));2615
119;8959;8959;((0, 6), (1, 3));2642
120;8959;8959;((0, 5), (1, 3));2669
121;8959;8959;((0, 4), (1, 3));2696
122;8959;8959;((0, 8), (1, 4));2721
123;8959;8959;((0, 7), (1, 4));2748
124;8959;8959;((0, 6), (1, 4));2775
125;8959;8959;((0, 5), (1, 4));2802
126;8959;8959;((0, 4), (1, 4));2829
127;8959;8959;((0, 0), (1, 1));2854
128;8959;8959;((0, 0), (1, 0));2881
129;8959;8959;((0, 1), (1, 1));2907
130;8959;8959;((0, 1), (1, 0));2935
131;8959;8959;((0, 2), (1, 1));2961
132;8959;8959;((0, 2), (1, 0));2989
133;8959;8959;((0, 3), (1, 1));3015
134;8959;8959;((0, 3), (1, 0));3041
135;8959;8959;((0, 9), (1, 6));3065
136;8959;8959;((0, 9), (1, 5));3091
137;8959;8959;((0, 10), (1, 6));3115
138;8959;8959;((0, 10), (1, 5));3141
139;8959;8959;((0, 11), (1, 6));3165
140;8959;8959;((0, 11), (1, 5));3191
141;8959;8959;((0, 12), (1, 6));3215
142;8959;8959;((0, 4), (1, 4));3241
143;8959;8959;((0, 4), (1, 3));3269
144;8959;8959;((0, 4), (1, 2));3297
145;8959;8959;((0, 4), (1, 1));3325
146;8959;8959;((0, 4), (1, 0));3353
147;8959;8959;((0, 5), (1, 4));3379
148;8959;8959;((0, 5), (1, 3));3407
149;8959;8959;((0, 5), (1, 2));3435
150;8959;8959;((0, 5), (1, 1));3463
151;8959;8959;((0, 5), (1, 0));3491
152;8959;8959;((0, 6), (1, 4));3517
153;8959;8959;((0, 6), (1, 3));3545
154;8959;8959;((0, 6), (1, 2));3573
155;8959;8959;((0, 6), (1, 1));3601
156;8959;8959;((0, 6), (1, 0));3629
157;8959;8959;((0, 7), (1, 4));3655
158;8959;8959;((0, 7), (1, 3));3683
159;8959;8959;((0, 7), (1, 2));3711
160;8959;8959;((0, 7), (1, 1));3739
161;8959;8959;((0, 7), (1, 0));3767
162;8959;8959;((0, 8), (1, 4));3793
163;8959;8959;((0, 8), (1, 3));3821
164;8959;8959;((0, 8), (1, 2));3849
165;8959;8959;((0, 8), (1, 1));3877
166;8959;8959;((0, 8), (1, 0));3905
167;8959;8959;((0, 9), (1, 4));3931
168;8959;8959;((0, 10), (1, 4));3959
169;8959;8959;((0, 11), (1, 5));3987
170;8959;8959;((0, 12), (1, 6));4013
171;8959;8959;((0, 11), (1, 6));4039
172;8959;8959;((0, 13), (1, 7));4063
173;8959;8959;((0, 12), (1, 7));4087
