qasmfile,Qiskit,Cirq,Tket
mb_mb_cz_entanglement.qasm,0.183767,0.0068745,0.0601345
mb_mb_endpoints_only.qasm,0.1760052,0.0090692999999999,0.0646173
mb_mb_rz_before_measure.qasm,0.186651,0.01093,0.064287
mb_mb_spread_cnot.qasm,0.188007,0.008855,0.0420935
qaoa_3q_s106.qasm,0.195335,0.018091,0.047513
qaoa_5q_s105.qasm,0.01995,0.217706,0.11238
qaoa_5q_s108.qasm,0.019832,0.243295,0.155882
qaoa_5q_s109.qasm,0.021673,0.256678,0.119507
ham_2q_dt0.1_T0.5.qasm,0.0125006666666666,0.1977643333333333,0.0279747222222222
ham_4q_dt0.05_T0.2.qasm,0.0322041111111111,0.1716653333333333,0.2494162222222222
ham_4q_dt0.1_T0.3.qasm,0.018646,0.204478,0.087937
ham_4q_dt0.1_T0.4.qasm,0.0299236,0.2570876,0.1718952
ghz_central.qasm,0.1686599999999999,0.0081805,0.045301
ghz_star.qasm,0.1890785,0.0079245,0.0550507499999999
ghz_with_measure.qasm,0.1692496666666666,0.0082456666666666,0.0472776666666666
ghz_with_swap.qasm,0.18759,0.011097,0.04124
